  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.62190000000E+05,0.19720319635E-02,0.16000000000E-03,0.55499993338E-08,0.34515445857E-03
 0.62550000000E+05,0.19834474886E-02,0.16000000000E-03,0.55499993338E-08,0.34715245833E-03
 0.62640000000E+05,0.19863013699E-02,0.16000000000E-03,0.55499993338E-08,0.34765195827E-03
 0.62730000000E+05,0.19891552511E-02,0.16000000000E-03,0.55499993338E-08,0.34815145821E-03
 0.62820000000E+05,0.19920091324E-02,0.16000000000E-03,0.55499993338E-08,0.34865095815E-03
 0.62910000000E+05,0.19948630137E-02,0.16000000000E-03,0.55499993338E-08,0.34915045809E-03
 0.63000000000E+05,0.19977168950E-02,0.16000000000E-03,0.55499993338E-08,0.34964995803E-03
 0.63090000000E+05,0.20005707763E-02,0.16000000000E-03,0.55499993338E-08,0.35014945797E-03
 0.63180000000E+05,0.20034246575E-02,0.16000000000E-03,0.55499993338E-08,0.35064895791E-03
 0.63270000000E+05,0.20062785388E-02,0.16000000000E-03,0.55499993338E-08,0.35114845785E-03
 0.63360000000E+05,0.20091324201E-02,0.16000000000E-03,0.55499993338E-08,0.35164795779E-03
 0.63450000000E+05,0.20119863014E-02,0.16000000000E-03,0.55499993338E-08,0.35214745773E-03
 0.63540000000E+05,0.20148401826E-02,0.16000000000E-03,0.55499993338E-08,0.35264695767E-03
 0.63630000000E+05,0.20176940639E-02,0.16000000000E-03,0.55499993338E-08,0.35314645761E-03
 0.63720000000E+05,0.20205479452E-02,0.16000000000E-03,0.55499993338E-08,0.35364595755E-03
 0.63810000000E+05,0.20234018265E-02,0.16000000000E-03,0.55499993338E-08,0.35414545749E-03
 0.63900000000E+05,0.20262557078E-02,0.16000000000E-03,0.55499993338E-08,0.35464495743E-03
 0.63990000000E+05,0.20291095890E-02,0.16000000000E-03,0.55499993338E-08,0.35514445737E-03
 0.64080000000E+05,0.20319634703E-02,0.16000000000E-03,0.55499993338E-08,0.35564395731E-03
 0.64170000000E+05,0.20348173516E-02,0.16000000000E-03,0.55499993338E-08,0.35614345725E-03
 0.64260000000E+05,0.20376712329E-02,0.16000000000E-03,0.55499993338E-08,0.35664295719E-03
 0.64350000000E+05,0.20405251142E-02,0.16000000000E-03,0.55499993338E-08,0.35714245713E-03
 0.64440000000E+05,0.20433789954E-02,0.16000000000E-03,0.55499993338E-08,0.35764195707E-03
