  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.16200000000E+05,0.51369863014E-03,0.16000000000E-03,0.55499993338E-08,0.89909989207E-04
 0.16290000000E+05,0.51655251142E-03,0.16000000000E-03,0.55499993338E-08,0.90409489147E-04
 0.16380000000E+05,0.51940639269E-03,0.16000000000E-03,0.55499993338E-08,0.90908989087E-04
 0.16470000000E+05,0.52226027397E-03,0.16000000000E-03,0.55499993338E-08,0.91408489027E-04
 0.16560000000E+05,0.52511415525E-03,0.16000000000E-03,0.55499993338E-08,0.91907988967E-04
 0.16650000000E+05,0.52796803653E-03,0.16000000000E-03,0.55499993338E-08,0.92407488907E-04
 0.16740000000E+05,0.53082191781E-03,0.16000000000E-03,0.55499993338E-08,0.92906988847E-04
 0.16830000000E+05,0.53367579909E-03,0.16000000000E-03,0.55499993338E-08,0.93406488787E-04
 0.16920000000E+05,0.53652968037E-03,0.16000000000E-03,0.55499993338E-08,0.93905988727E-04
 0.17010000000E+05,0.53938356164E-03,0.16000000000E-03,0.55499993338E-08,0.94405488667E-04
 0.17100000000E+05,0.54223744292E-03,0.16000000000E-03,0.55499993338E-08,0.94904988607E-04
 0.17190000000E+05,0.54509132420E-03,0.16000000000E-03,0.55499993338E-08,0.95404488547E-04
 0.17280000000E+05,0.54794520548E-03,0.16000000000E-03,0.55499993338E-08,0.95903988487E-04
 0.17370000000E+05,0.55079908676E-03,0.16000000000E-03,0.55499993338E-08,0.96403488427E-04
 0.17460000000E+05,0.55365296804E-03,0.16000000000E-03,0.55499993338E-08,0.96902988367E-04
 0.17550000000E+05,0.55650684932E-03,0.16000000000E-03,0.55499993338E-08,0.97402488307E-04
 0.17640000000E+05,0.55936073059E-03,0.16000000000E-03,0.55499993338E-08,0.97901988248E-04
 0.17730000000E+05,0.56221461187E-03,0.16000000000E-03,0.55499993338E-08,0.98401488188E-04
 0.17820000000E+05,0.56506849315E-03,0.16000000000E-03,0.55499993338E-08,0.98900988128E-04
 0.17910000000E+05,0.56792237443E-03,0.16000000000E-03,0.55499993338E-08,0.99400488068E-04
 0.18000000000E+05,0.57077625571E-03,0.16000000000E-03,0.55499993338E-08,0.99899988008E-04
 0.18090000000E+05,0.57363013699E-03,0.16000000000E-03,0.55499993338E-08,0.10039948795E-03
 0.18180000000E+05,0.57648401826E-03,0.16000000000E-03,0.55499993338E-08,0.10089898789E-03
 0.18270000000E+05,0.57933789954E-03,0.16000000000E-03,0.55499993338E-08,0.10139848783E-03
 0.18360000000E+05,0.58219178082E-03,0.16000000000E-03,0.55499993338E-08,0.10189798777E-03
 0.18450000000E+05,0.58504566210E-03,0.16000000000E-03,0.55499993338E-08,0.10239748771E-03
 0.18540000000E+05,0.58789954338E-03,0.16000000000E-03,0.55499993338E-08,0.10289698765E-03
 0.18630000000E+05,0.59075342466E-03,0.16000000000E-03,0.55499993338E-08,0.10339648759E-03
 0.18720000000E+05,0.59360730594E-03,0.16000000000E-03,0.55499993338E-08,0.10389598753E-03
 0.18810000000E+05,0.59646118721E-03,0.16000000000E-03,0.55499993338E-08,0.10439548747E-03
 0.18900000000E+05,0.59931506849E-03,0.16000000000E-03,0.55499993338E-08,0.10489498741E-03
 0.18990000000E+05,0.60216894977E-03,0.16000000000E-03,0.55499993338E-08,0.10539448735E-03
 0.19080000000E+05,0.60502283105E-03,0.16000000000E-03,0.55499993338E-08,0.10589398729E-03
 0.19170000000E+05,0.60787671233E-03,0.16000000000E-03,0.55499993338E-08,0.10639348723E-03
 0.19260000000E+05,0.61073059361E-03,0.16000000000E-03,0.55499993338E-08,0.10689298717E-03
 0.19350000000E+05,0.61358447489E-03,0.16000000000E-03,0.55499993338E-08,0.10739248711E-03
 0.19440000000E+05,0.61643835616E-03,0.16000000000E-03,0.55499993338E-08,0.10789198705E-03
 0.19530000000E+05,0.61929223744E-03,0.16000000000E-03,0.55499993338E-08,0.10839148699E-03
 0.19620000000E+05,0.62214611872E-03,0.16000000000E-03,0.55499993338E-08,0.10889098693E-03
 0.19710000000E+05,0.62500000000E-03,0.16000000000E-03,0.55499993338E-08,0.10939048687E-03
 0.19800000000E+05,0.62785388128E-03,0.16000000000E-03,0.55499993338E-08,0.10988998681E-03
 0.19890000000E+05,0.63070776256E-03,0.16000000000E-03,0.55499993338E-08,0.11038948675E-03
 0.19980000000E+05,0.63356164384E-03,0.16000000000E-03,0.55499993338E-08,0.11088898669E-03
 0.20070000000E+05,0.63641552511E-03,0.16000000000E-03,0.55499993338E-08,0.11138848663E-03
 0.20160000000E+05,0.63926940639E-03,0.16000000000E-03,0.55499993338E-08,0.11188798657E-03
 0.20250000000E+05,0.64212328767E-03,0.16000000000E-03,0.55499993338E-08,0.11238748651E-03
 0.20340000000E+05,0.64497716895E-03,0.16000000000E-03,0.55499993338E-08,0.11288698645E-03
